54796 0.17 CODEX54796_pz annuli54796
default 0.24533 pz annuli_default
46647 0.26 CODEX46647_pz annuli46647
24925 0.29 CODEX24925_pz annuli24925
29249 0.29 CODEX29249_pz annuli29249
27955 0.31 CODEX27955_pz annuli27955
39323 0.31 CODEX39323_pz annuli39323
50502 0.32 CODEX50502_pz annuli50502
64360 0.36 CODEX64360_pz annuli64360
46328 0.37 CODEX46328_pz annuli46328
16566 0.38 CODEX16566_pz annuli16566
16470 0.39 CODEX16470_pz annuli16470
41911 0.39 CODEX41911_pz annuli41911
24872 0.40 CODEX24872_pz annuli24872
24981 0.41 CODEX24981_pz annuli24981
35361 0.41 CODEX35361_pz annuli35361
39879 0.41 CODEX39879_pz annuli39879
43403 0.42 CODEX43403_pz annuli43403
35646 0.43 CODEX35646_pz annuli35646
41843 0.43 CODEX41843_pz annuli41843
54795 0.43 CODEX54795_pz annuli54795
53495 0.44 CODEX53495_pz annuli53495
25252 0.45 CODEX25252_pz annuli25252
27940 0.46 CODEX27940_pz annuli27940
50514 0.46 CODEX50514_pz annuli50514
52484 0.46 CODEX52484_pz annuli52484
58114 0.46 CODEX58114_pz annuli58114
13062 0.47 CODEX13062_pz annuli13062
43881 0.47 CODEX43881_pz annuli43881
25953 0.48 CODEX25953_pz annuli25953
37287 0.48 CODEX37287_pz annuli37287
24865 0.49 CODEX24865_pz annuli24865
27974 0.49 CODEX27974_pz annuli27974
29811 0.49 CODEX29811_pz annuli29811
59915 0.49 CODEX59915_pz annuli59915
16463 0.50 CODEX16463_pz annuli16463
24747 0.50 CODEX24747_pz annuli24747
18127 0.51 CODEX18127_pz annuli18127
25424 0.51 CODEX25424_pz annuli25424
58083 0.51 CODEX58083_pz annuli58083
35399 0.52 CODEX35399_pz annuli35399
50492 0.52 CODEX50492_pz annuli50492
64232 0.53 CODEX64232_pz annuli64232
219599 0.54 CODEX219599_pz annuli219599
47981 0.54 CODEX47981_pz annuli47981
53436 0.54 CODEX53436_pz annuli53436
55181 0.54 CODEX55181_pz annuli55181
29283 0.55 CODEX29283_pz annuli29283
39326 0.55 CODEX39326_pz annuli39326
29284 0.56 CODEX29284_pz annuli29284
52480 0.56 CODEX52480_pz annuli52480
58014 0.56 CODEX58014_pz annuli58014
37098 0.57 CODEX37098_pz annuli37098
57892 0.57 CODEX57892_pz annuli57892
12451 0.58 CODEX12451_pz annuli12451
36818 0.58 CODEX36818_pz annuli36818
20621 0.59 CODEX20621_pz annuli20621
24877 0.59 CODEX24877_pz annuli24877
25094 0.60 CODEX25094_pz annuli25094
46649 0.62 CODEX46649_pz annuli46649
20622 0.67 CODEX20622_pz annuli20622
